Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
fluviatilis,Eurasian perch,2612.5,821,,,22
aurantiaca,Tangerine darter,,,,750,4.5
burtoni,Blotchside logperch,,,,,4
caprodes,Logperch,,,7,,3
evides,Gilt darter,,,,,4
macrocephala,Longhead darter,,,,,4
maculata,Blackside darter,,,,,4
pantherina,Leopard darter,,,,,3
phoxocephala,Slenderhead darter,,,,,3
rex,Roanoke logperch,,,,,6
roanoka,Roanoke darter,,,,,3
sciera,Dusky darter,,,,,4
shumardi,River darter,,,,,3
tanasi,Snail darter,,,,,4
vigil,Saddleback darter,,,,,2
canadensis,Sauger,2000,730,20,,18
lucioperca,Zander,11000,1338,,,16
vitreus,Walleye,11000,,,150000,29
gunnellus,Rock gunnel,,,,,5
fuscus,Taumaka,,,,,9
macrochir,King threadfin,24750,,,,20
oxygeneios,Hapuka,55000,4197,,,60
gigas,Giant sea bass,140580,,,,75
bicolor,Black and gold angelfish,,,,,13
flavissima,Lemonpeel angelfish,,,,,11
navarchus,Bluegirdled angelfish,,,,,15
diacanthus,Royal angelfish,,,,,14.5
clarkii,Black clown,,,,,11
ephippium,Red saddleback anemonefish,,,,,16
melanopus,Black anemonefish,,,,,5
saltatrix,Bluefish,7920,,,,9
japonicus,Bulleye,1144,,,,9
canadum,Cobia,37400,,,,15
gibbus,Heavybeak parrotfish,2200,,,,14
frenatus,Bridled parrotfish,,,,,20
ghobban,Flame parrotfish,,,,,13
psittacus,Palenose parrotfish,,,,,5
rubroviolaceus,Bicolor parrotfish,,,,,20
grunniens,Freshwater drum,13292.5,,2,50000,13
japonicus,Southern meagre,41250,,,,30
nobilis,White seabass,22550,,,,20
saturnum,Black croaker,385,,,,20
nebulosus,Spotted seatrout,4356,,,,18
lineatus,White croaker,,,,,15
xanthurus,Spot,247.5,,,,4
undulatus,California corbina,2145,,,,8
furnieri,Whitemouth drummer,,1277,,,7
undulatus,Atlantic croaker,1419,365,,,5
cromis,Black drum,28215,,,,43
ocellatus,Red drum,24750,1277,,,50
macdonaldi,Totoaba,,,,,15
thazard,Frigate tuna,,,,,5
affinis,Little tunny,7700,,,,10
pelamis,Skipjack tuna,18975,,,,12
brachysoma,Indian mackerel,,,,,4
sarda,Atlantic bonito,6050,365,,,5
japonicus,Chub mackerel,1595,821,,,18
scombrus,Atlantic mackerel,1870,784,,,17
commerson,King mackerel,38500,,,,14
maculatus,Spanish mackerel,3239.5,730,,,5
tritor,West African Spanish mackerel,3300,,,,5
alalunga,Albacore,33165,1825,,2000000,13
albacares,Yellowfin tuna,,,,,9
maccoyii,Southern bluefin tuna,143000,3102,,,20
obesus,Bigeye tuna,115500,,,,11
thynnus,Horse mackerel,376200,1368,,,15
striata,Black sea bass,2365,,,,20
miniata,Bluespot rockcod,,,,,25
areolatus,Areolate grouper,770,,,,15
chlorostigma,Brownspotted grouper,3850,,,,29
coioides,Orange-spotted grouper,8250,,,,22
drummondhayi,Speckled hind,16500,,,,25
flavolimbatus,Yellowedge grouper,10230,,,,32
marginatus,Dusky grouper,33000,,,,50
niveatus,Snowy grouper,16500,,,,27
striatus,Nassau grouper,13750,,,,16
interstitialis,Yellowmouth grouper,5610,,,,41
phenax,Scamp,7810,,,,21
clathratus,Kelp bass,3850,,,,31
nebulifer,Barred sand bass,3289,,,,31
leopardus,Bluedotted coraltrout,12980,1277,,,26
scriba,Painted comber,8250,,,,60
punctatus,Spotted whiting,2640,1277,,,15
ciliata,Sand whiting,770,,,,22
schomburgkii,Western sand whiting,,,,,12
sihama,Northern whiting,,,,,7
australis,Surf bream,2475,,,,12
butcheri,Southern black bream,2200,912,,,29
probatocephalus,Sheepshead,2000,730,,,20
nodosus,Knobbed porgy,1446.5,,,,17
auratus,Squirefish,11000,1277,,,35
annularis,Annular seabream,,365,,,7
sargus,White seabream,1000,,,,21
aureti,West coast seabream,10615,1971,,,50
bogaraveo,Blackspot seabream,2200,,,,15
aurata,Gilthead seabream,9460,,,,11
cantharus,Black sea bream,671,,,,15
chrysops,Scup,1133,,,,19
argentea,Pacific barracuda,6600,,,,11
barracuda,Great barracuda,24000,730,,,14
lepturus,Atlantic cutlassfish,2750,,,,15
lesleyae,Mottled twister,,,,,3
lapillum,Common triplefin,,,,,3
varium,Striped triplefin,,,,,4
giganteum,Flathead,,,,,20
pacificus,Blackbelly eelpout,,,,,5
americanus,Ocean pout,2989.8,,,,18
viviparus,Viviporous blenny,280.5,,,,10
agassizii,Spring cavefish,,,,,3
subterraneus,Southern cavefish,,,,,4
sayanus,Pirate perch,,,,,4
omiscomaycus,Trout-perch,,,,,4
transmontana,Sand roller,,,,,6
maculatus,Hogchoker,,,,,6
imperialis,Scaldfish,,,,,8
thori,Grohmann's scaldfish,,,,,10
crossotus,Fringed flounder,,,,,2
californicus,California halibut,18150,,,,30
lethostigma,Southern flounder,5131.5,,,,8
pentophthalmus,Fivespot flounder,,,,,3
stomias,Arrowtooth flounder,1100,,,,15
jordani,Petrale sole,1980,2555,,,25
cynoglossus,Witch flounder,1375,,,,25
zachirus,Rex sole,825,,,,24
platessoides,American plaice,3520,1460,,,30
hippoglossus,Atlantic halibut,176000,3102,,,90
stenolepis,Pacific halibut,199650,4562,,,42
isolepis,Butter sole,,,,,11
bicoloratus,Stone flounder,,,,,12
bilineata,Rock sole,,,,,22
aspera,Yellowfin sole,233.75,1642,,,26
ferruginea,Yellowtail flounder,825,1334,,,12
kitt,Lemon sole,1600,1460,,,23
pacificus,Dover sole,,2738,,,45
flesus,European flounder,7700,1049,,,15
stellatus,Starry flounder,5005,,,,24
platessa,Plaice,3850,1095,,,50
americanus,Winter flounder,1980,1034,,,14
hippoglossoides,Greenland halibut,3850,3102,,,30
plebeia,Dab,,,,,12
maximus,Turbot,13750,1460,,,26
rhombus,Brill,4400,,,,6
luteum,Solenette,,,,,13
variegatus,Thickback sole,,,,,14
impar,Adriatic sole,,,,,12
lascaris,Atlantic sole,,,,,15
solea,Common sole,1650,1460,,,27
albula,Vendace,550,730,,,10
artedi,Cisco,1842,,,,11
clupeaformis,Lake whitefish,10450,,,,50
hoyi,Bloater,,,,,10
kiyi,Kiyi,,,,,10
muksun,Muksun,7590,,,,23
nasus,Broad whitefish,8800,,,,15
nigripinnis,Blackfin cisco,,,,,14
pidschian,Humpback whitefish,,5110,,,14
pollan,Irish pollan,247.5,1277,,,10
reighardi,Shortnose cisco,296.45,,,,8
sardinella,Least cisco,305.25,1916,,,26
zenithicus,Longjaw cisco,,,,,11
hucho,Danube salmon,28600,1825,,,15
taimen,Taimen,38500,,,,16
clarkii,Cutthroat trout,10230,1095,,,10
gorbuscha,Pink salmon,3740,730,,,3
keta,Chum salmon,8745,1186,,,7
kisutch,Coho salmon,8360,1095,,,5
mykiss,Steelhead,12235,912,18,3500,11
nerka,Sockeye salmon,4240.5,730,,,8
tshawytscha,Chinook salmon,33770,1460,,,9
coulterii,Pygmy whitefish,,,,,9
cylindraceum,Round whitefish,1498,1095,140,,16
gemmifer,Bonneville cisco,,,,,6
spilonotus,Bonneville whitefish,,,,,8
williamsoni,Mountain whitefish,1606,,,,17
salar,Atlantic salmon,25740,1825,,,13
trutta,Brown trout,,,,8000,38
alpinus,Arctic char,,3285,,,40
fontinalis,Bunnylake brook trout,4397.25,730,,,24
namaycush,Lake trout,17985,4745,,,50
leucichthys,Inconnu,22000,3650,,,22
arcticus,Arctic grayling,2103.25,,,,18
cataphractus,Armed bullhead,,912,,,3
fimbria,Sablefish,31350,,,,114
aleuticus,Coastrange sculpin,,,,,8
asper,Prickly sculpin,,,,,7
bairdii,Mottled sculpin,,730,,60,6
carolinae,Banded sculpin,,730,,475,4
cognatus,Slimy sculpin,,,,,7
confusus,Shorthead sculpin,,,,,6
gobio,Bullhead,,,,,5
paulus,Pygmy sculpin,,,,,2
poecilopus,Alpine bullhead,,,,,8
armatus,Pacific staghorn sculpin,,,,,10
octodecemspinosus,Longhorn sculpin,,,,,11
quadricornis,Fourhorn sculpin,143,,,,14
decagrammus,Kelp greenling,1155,1460,,,12
elongatus,Lingcod,32505,,,,20
richardsoni,Tiger flathead,1650,,,,12
conatus,Deepwater flathead,,1642,,,20
marmoratus,Devilfish,,730,,,14
percoides,Sea perch,770,,,,42
volitans,Red firefish,,,,,10
aleutianus,Rougheye rockfish,495,,,,205
alutus,Pacific ocean perch,770,3833,,,100
atrovirens,Kelp rockfish,,,,,20
auriculatus,Brown rockfish,,,,,20
babcocki,Redbanded rockfish,2442,,,,106
borealis,Shortraker rockfish,8910,,,,157
brevispinis,Silvergray rockfish,2590.5,,,,82
carnatus,Gopher rockfish,,,,,30
caurinus,Copper rockfish,1507,,,,55
chlorostictus,Greenspotted rockfish,555.5,,,,33
chrysomelas,Black-and-yellow rockfish,,,,,22
ciliatus,Dusky rockfish,995.5,,,,67
constellatus,Starry rockfish,572,,,,32
crameri,Darkblotched rockfish,,1861,,,66
dallii,Calico rockfish,,,,,12
diploproa,Splitnose rockfish,445.5,1825,,,84
elongatus,Greenstriped rockfish,346.5,,,,42
entomelas,Widow rockfish,,,,,60
flavidus,Yellowtail rockfish,1380.5,2190,,,64
goodei,Chilipepper,847,,,,27
helvomaculatus,Rosethorn rockfish,,,,,87
hopkinsi,Squarespot rockfish,,,,,19
jordani,Shortbelly rockfish,,,,,31
levis,Cowcod,7150,4380,,,55
maliger,Quillback rockfish,1804,,,,90
melanops,Black rockfish,2640,,,,50
mentella,Deepwater redfish,,3650,,,75
miniatus,Vermilion rockfish,3700,,,,43
mystinus,Blue rockfish,2084.5,1277,,,44
nebulosus,China rockfish,918.5,,,,79
nigrocinctus,Tiger rockfish,1221,,,,116
ovalis,Speckled rockfish,522.5,,,,37
paucispinis,Bocaccio,5296.5,1460,,,50
pinniger,Canary rockfish,2491.5,2007,,,84
polyspinis,Northern rockfish,,,,,57
proriger,Redstripe rockfish,,,,,55
rastrelliger,Grass rockfish,,,,,23
reedi,Yellowmouth rockfish,,,,,99
rosaceus,Rosy rockfish,,,,,14
rosenblatti,Greenblotched rockfish,,,,,50
ruberrimus,Rasphead rockfish,9790,4927,,,118
rubrivinctus,Flag rockfish,797.5,,,,18
rufus,Bank rockfish,1089,,,,53
saxicola,Stripetail rockfish,,,,,38
serranoides,Olive rockfish,900,,,,25
variegatus,Harlequin rockfish,,,,,47
viviparus,Norway haddock,550,,,,40
wilsoni,Pygmy rockfish,,,,,24
zacentrus,Sharpchin rockfish,,,,,58
alascanus,Shortspine thornyhead,1270.5,,,,115
altivelis,Longspine thornyhead,,,,,45
capensis,Cape gurnard,,,,,16
cuculus,East Atlantic red gurnard,,730,,,21
kumu,Bluefin searobin,825,912,,,15
lucernus,Tub gurnard,3300,,,,15
queketti,Lesser gurnard,,,,,7
lyra,Lyre gurnard,,,,,7
lastoviza,Streaked gurnard,,,,,18
barbus,White sea catfish,,,,,36
bajad,African catfish,6875,1642,,,17
punctatus,South American catfish,,,,,8.8
fossilis,Stinging catfish,,365,,,17.5
catus,White catfish,5362.5,,,,14
melas,Black bullhead,1995.5,730,7,3150,10
natalis,Yellow bullhead,1278,730,,500,7
platycephalus,Flat bullhead,,,,,7
furcatus,Blue catfish,37450,,,,21
punctatus,Channel catfish,13732.5,,,,16
albater,Ozark madtom,,,,,3
eleutherus,Mountain madtom,,,,,5
exilis,Slender madtom,,,,,4
flavater,Checkered madtom,,,,,5
flavipinnis,Yellowfin madtom,,,,65,4
flavus,Stonecat,,1095,,300,9
gilberti,Orangefin madtom,,,,,3
gyrinus,Tadpole madtom,,,,,3
leptacanthus,Speckled madtom,,,,,3
miurus,Brindled madtom,,,,,3
nocturnus,Freckled madtom,,,,,4
olivaris,Flathead catfish,30717.5,1460,,52000,20
punctatus,Suckermouthed catfish,,,,,18
electricus,Electric catfish,,,,,10
schall,Upside-down catfish,275,,,,31
macrocephalus,Cobbler,1375,912,,,13
lineatus,Striped eel-catfish,,,,,7
glanis,Sheatfish,168300,912,,,60
braueri,Brauer's bristlemouth,,,,,1
scintillans,Shiny loosejaw,,,,,7
macouni,Pacific viperfish,12.87,,,,8
ayraud,Chinaman-leatherjacket,1925,1095,,,9
richei,Prickly toadfish,,,,,7
lineatus,Nile globe-fish,,,,,5.9
niger,Black oreo,825,9855,,,100
verrucosus,Warty oreo,1100,,,,140
rhomboidalis,Spiky oreo,1100,,,,100
maculatus,Smooth oreo,2750,,,,100
faber,European john dory,4400,1277,,,12
franciscanus,Red sea urchin,,550,,,200
purpuratus,Purple sea urchin,,730,,,50
islandica,Ocean quahog clam,,4780,,,507
elegans,Roundworm,,3,,,0.16
antarctica,Epibenthic sponge,,,,,1550
joubini,Hexactinellid sponge,,,,,15000
longaeva,Great Basin bristlecone pine,,,,,5062
cerevisiae,Baker's yeast,,,,,0.04
